line,brigade,lon,lat,time
213,3,21.206065,52.166511,2017-10-02 23:59:47
702,1,21.239879000000002,52.1316,2017-10-02 23:59:52
715,2,21.017751999999998,52.162575,2017-10-02 23:59:52
715,1,20.931109,52.164043,2017-10-02 23:59:53
192,5,20.99295,52.188695,2017-10-02 23:59:51
108,3,21.086918,52.195754,2017-10-02 23:59:49
N46,1,20.986207,52.250170000000004,2017-10-02 23:59:42
194,3,20.862493,52.207782,2017-10-02 23:59:43
194,4,20.930413,52.225009,2017-10-02 23:59:53
N41,181,20.921426,52.196576,2017-10-02 22:32:57
N01,4,21.002078,52.178022999999996,2017-10-02 23:59:48
739,1,21.041159,52.081641999999995,2017-10-02 23:59:50
165,3,21.00788,52.178093,2017-10-02 23:59:51
739,5,21.018214,52.128236,2017-10-02 23:59:49
N33,172,21.025859,52.173411,2017-10-02 23:59:47
L11,5,20.941314000000002,52.400791999999996,2017-10-02 23:59:52
L-9,1,20.937793,52.395647,2017-10-02 17:10:48
L11,3,20.778001999999997,52.43889300000001,2017-06-08 04:36:29
N95,191,20.891201000000002,52.240033000000004,2017-10-02 23:59:50
N88,212,20.922783,52.196238,2017-10-02 23:59:55
197,1,20.920336,52.196919,2017-10-02 18:31:28
739,4,20.9979,52.188901,2017-10-02 23:59:51
N38,1,20.985078,52.220531,2017-10-02 23:59:42
N01,1,20.932043,52.267272999999996,2017-10-02 23:59:54
N91,183,20.876960999999998,52.29149,2017-10-02 23:59:52
159,5,21.0165,52.223461,2017-10-02 23:59:52
739,3,21.030203,52.096446,2017-10-02 23:59:44
N32,2,20.978731,52.184015,2017-10-02 23:59:43
711,063,20.859953,52.115238,2017-10-02 23:59:45
N01,3,20.982324,52.201628,2017-10-02 23:59:51
N36,1,20.995515,52.170159999999996,2017-10-02 23:59:50
N44,1,20.991485,52.263263,2017-10-02 23:59:50
122,2,20.898723,52.23885,2017-10-02 23:59:52
N46,2,20.927263,52.291160999999995,2017-10-02 23:59:50
N01,2,20.923759,52.196807,2017-10-02 23:59:53
134,1,21.051888,52.312466,2017-10-02 23:59:54
N64,215,21.035218,52.254542,2017-10-02 23:59:46
Z20,2,21.037217000000002,52.252395,2017-10-02 23:59:54
N46,150,20.977759,52.265646999999994,2017-10-02 23:59:45
178,2,20.902008,52.185088,2017-10-02 23:59:47
154,3,20.897983,52.255577,2017-10-02 23:59:47
L25,1,21.217553,51.9816291,2017-10-02 23:22:07
N41,181,21.001624,52.243511,2017-10-02 23:59:53
N25,193,21.068518,52.229939,2017-10-02 23:59:51
178,6,20.983604,52.230436,2017-10-02 23:59:51
197,2,20.923468,52.196639000000005,2017-10-02 23:59:52
